run#,time,req/s,cpu,mem
319848,1451.45,11.71,NaN,NaN
319849,1307.55,13.00,NaN,NaN
319850,1380.41,12.32,NaN,NaN
319851,1294.48,13.13,NaN,NaN
319852,1404.75,12.10,NaN,NaN
319853,1443.78,11.77,NaN,NaN
319854,1400.33,12.14,NaN,NaN
319855,1353.52,12.56,NaN,NaN
319856,1335.84,12.73,NaN,NaN
319857,1384.25,12.28,NaN,NaN
319858,1422.50,11.95,NaN,NaN
319859,1394.26,12.19,NaN,NaN
319860,1307.23,13.00,NaN,NaN
319861,1484.98,11.45,NaN,NaN
319862,1597.02,10.64,NaN,NaN
319863,1334.52,12.74,NaN,NaN
319864,1388.31,12.25,NaN,NaN
319865,1388.22,12.25,NaN,NaN
319866,1386.56,12.26,NaN,NaN
319867,1331.92,12.76,NaN,NaN
319868,1343.98,12.65,NaN,NaN
319869,1311.15,12.97,NaN,NaN
319870,1334.90,12.74,NaN,NaN
319871,1441.40,11.79,NaN,NaN
319872,1303.84,13.04,NaN,NaN
319873,1339.51,12.69,NaN,NaN
319874,1353.12,12.56,NaN,NaN
319875,1296.63,13.11,NaN,NaN
319876,1327.62,12.80,NaN,NaN
319877,1378.28,12.33,NaN,NaN
319878,1365.17,12.45,NaN,NaN
319879,1367.25,12.43,NaN,NaN
319880,1318.13,12.90,NaN,NaN
319881,1408.22,12.07,NaN,NaN
319882,1356.22,12.53,NaN,NaN
319883,1394.06,12.19,NaN,NaN
319884,1303.57,13.04,NaN,NaN
319885,1338.86,12.70,NaN,NaN
319886,1368.25,12.42,NaN,NaN
319887,1344.57,12.64,NaN,NaN
319888,1394.40,12.19,NaN,NaN
319889,1322.99,12.85,NaN,NaN
319890,1321.36,12.87,NaN,NaN
319891,1410.00,12.06,NaN,NaN
319892,1400.24,12.14,NaN,NaN
319893,1377.21,12.34,NaN,NaN
319894,1372.89,12.38,NaN,NaN
319895,1409.64,12.06,NaN,NaN
319896,1304.49,13.03,NaN,NaN
319897,1362.26,12.48,NaN,NaN
319898,1325.46,12.83,NaN,NaN
319899,1343.18,12.66,NaN,NaN
319900,1321.28,12.87,NaN,NaN
319901,1348.08,12.61,NaN,NaN
319902,1342.21,12.67,NaN,NaN
319903,1372.41,12.39,NaN,NaN
319904,1320.45,12.87,NaN,NaN
319905,1413.77,12.02,NaN,NaN
319906,1376.45,12.35,NaN,NaN
319907,1490.30,11.41,NaN,NaN
319908,1321.19,12.87,NaN,NaN
319909,1409.82,12.06,NaN,NaN
319910,1332.09,12.76,NaN,NaN
319911,1365.68,12.45,NaN,NaN
319912,1354.94,12.55,NaN,NaN
319913,1336.62,12.72,NaN,NaN
319914,1375.18,12.36,NaN,NaN
319915,1333.63,12.75,NaN,NaN
319916,1404.44,12.10,NaN,NaN
319917,1297.11,13.11,NaN,NaN
319918,1493.02,11.39,NaN,NaN
319919,1384.42,12.28,NaN,NaN
319920,1375.88,12.36,NaN,NaN
319921,1393.97,12.20,NaN,NaN
319922,1443.90,11.77,NaN,NaN
319923,1403.95,12.11,NaN,NaN
319924,1379.66,12.32,NaN,NaN
319925,1334.89,12.74,NaN,NaN
319926,1347.35,12.62,NaN,NaN
319927,1345.84,12.63,NaN,NaN
319928,1356.42,12.53,NaN,NaN
319929,1323.91,12.84,NaN,NaN
319930,1342.95,12.66,NaN,NaN
319931,1359.61,12.50,NaN,NaN
319932,1361.61,12.49,NaN,NaN
319933,1392.45,12.21,NaN,NaN
319934,1356.26,12.53,NaN,NaN
319935,1469.38,11.57,NaN,NaN
319936,1349.70,12.60,NaN,NaN
319937,1283.49,13.25,NaN,NaN
319938,1310.30,12.97,NaN,NaN
